kelime,tanımı nedir,ne işe yarar,nasıl yapılır,nerede bulunur,niçin yapılır,yanında neler bulunur,ne olunca yapılır,içinde neler bulunur,yapınca ne olur,hammaddesi nedir,neyi kimi yapılır,üst kavramı nedir,kim ne ile yapılır,kim kullanır,neye kime yapılır,sıfatları,nerede yapılır,rengi,kim ne yapar,şekli nasıl,fiziksel zihinsel,canlı cansız
akıl etmek,"['', 'alınabilecek önlemi iş işten geçmeden düşünmek', 'herhangi bir önlem veya çareyi zamanında düşünmek', 'doğru bir şey yapmak', 'bir problem üzerine fikir üretmek', 'tahmin etmek', 'düşünebilmek', 'çözüm üretmek', 'yöntem bulmak', 'düşünerek çözüm bulmak', 'düşünmek ve uygulamak', 'bir şey düşünebilmek', 'düşünmek', 'bir çözümü ya ya durumu önceden düşünebilmek', 'düşünerek önlem almak']",,"['akla gelir', 'çıkarım yaparak', 'düşünerek', 'zekice', 'değerlendirmek', 'kafa yorarak', 'hızlaca', 'düşünmek', 'geç']",,"['çözüm üretmek', 'zorunluluk', 'kod yazmak', 'bulmak için', 'önlem', 'çare', 'yüksek bot almak', 'bulmak', 'sorun çözmek', 'problem çözümü', 'sonuca varmak', 'yol bulmak için', 'çözmek', 'çözüm bulmak', 'özüm üretmek', 'çözüm', 'anlamak', 'zorlanmak', 'problem çözmek']",,"['', 'başarısız olmak', 'planlama', 'aklına gelince', 'merak etmek', 'sorunu olmak', 'proje yapmak', 'önlem alınca', 'problem', 'çözüm istenince', 'sorunla karşılaşmak', 'problem içinde olmak', 'düşünmek', 'sınava girmek', 'sorun çözmek', 'karmaşıklık olunca', 'sınav olmak', 'çıkmaza girince', 'çözüm bulamamak', 'sorumluluk almak', 'düşününce', 'kafa karışınca', 'bilmemek', 'zorlanınca', 'sorun', 'sorun oluşmak', 'farketmek', 'sıkışmak']",,"['başarılı olmak', 'çözüme ulaşılır', 'düşünce oluşur', 'yeni bir yol keşfedilir', 'akla gelmek', 'başarmak', 'çare bulmak', 'kolaylık', 'sonuçlanır', 'takdir edilmek', 'başarılı', 'halletmek', 'kurtulmak', 'mutlu olmak', 'çözümlemek', 'fikir üretmek', 'çözüme yaklaşmak', 'çözülür', 'çözüm bulmak', 'bilmek', 'soru çözmek', 'çözüm', 'anlamak', 'kendine güvenmek']",,"['düşünür', 'soru', 'bilmece', 'problem', 'çözüm yöntemi', 'önlem', 'insan', 'çare', 'malzeme', 'olay', 'bilgi', 'yöntem', 'düşünce', 'fikir', 'bir fikir', 'herhangi bir şeyi', 'sorun', 'hile', 'çözüm']",,"['düşünce', 'bilgisayar', 'akıl', 'düşünerek', 'beyin', 'herkes', 'sorun', 'tecrübe', 'öneri', 'farketmek', 'kendisiyle', 'beyin ile', 'zeka', 'düşünmek', 'zihin']",,"['karşısındaki', 'sınav', 'arkadas', 'kendi kendine', 'olay', 'fikir', 'arkadaş', 'her şeye', 'herkese', 'iş', 'yönetici', 'soru', 'çıkar', 'insan', 'durum', 'problem']",,"['sınav', 'iş yeri', 'sınıf', 'bulunulan yerde', 'dünyada', 'beyin', 'ev', 'iş', 'zihinde', 'zihin', 'işyeri', 'heryer', 'heryerde', 'okul', 'her yerde']",,"['mühendis', 'öğrenci', 'programcı', 'mucit', 'herkes', 'kişi', 'köpek', 'çocuk', 'çalışan', 'insan']",,['zihinsel'],
alay etmek,"['gülünç vb yönlerini küçümseyerek eğlence konusu yapmak', 'bir kişiyi küçük görmek', 'eksik vb yönlerini küçümseyerek eğlence konusu yapmak', 'bir kişinin eksik yönleri hakkında dalga geçmek', 'küçümsemek', 'birini küçük duruma düşürmek', 'bir durumun', 'bir kimsenin', 'bir şeyin', 'gülünç', 'bir şeyin kusru ile dalga geçmek', 'dalaga geçmek', 'küçümseyerek eğlence konusu etmek', 'kusurlu', 'dalga geçmek', 'bir şeyi eğlence konusu yapmak', 'bir konuyu küçümseyerek eğlence konusu yapmak', 'birinin', 'bir şeyin ya ya bir durumun eksik']",,"['çok', 'konuşarak', 'davranış', 'açık bularak', 'söyleyerek', 'sözlü', 'küçümseyerek', 'gülmek', 'taklit', 'söz', 'cocukca', 'konuşmak', 'az', 'gülerek', 'dalga geçmek', 'düşünmeyerek', 'çocukça', 'eğlenerek', 'dalga geçerek', 'sözel', 'inceden']",,"['küçük düşürmek', 'aşağılamak', 'eğlence', 'üzmek', 'komik olmak', 'küçümsemek', 'kızdırmak', 'alay etmek', 'gülmek', 'gülmek için', 'kötülemek', 'sevmediği için', 'çözmek', 'meral bozmak', 'dalga geçmek', 'yermek', 'kizdirmak', 'eğlenmek', 'samimi bir ortam']",,"['fırsat', 'eğlenceli bir ortam', 'saçma bir hareket yapılınca', 'hata', 'beceremeyen', 'aşağılamak', 'kibirlenmek', 'komik olmak', 'eksik', 'kıskançlık', 'absürd', 'kusur', 'düşmek', 'kızgın olmak', 'komik durumda', 'gülünç', 'rekabet', 'ilginc bir sey olunca', 'ilginç bir şey olunca', 'komik', 'kıskanınca', 'sinirlenmek', 'komik bir durum', 'komik söylemek', 'sinir olunca', 'kusurlu', 'sinir olmak', 'bir kusur görünce', 'komik durum']",,"['karı taraf rencide olur', 'kırmak', 'oyun', 'kötü', 'küçümsemek', 'üzülmek', 'kalp kırılır', 'kabalık', 'gülmek', 'aşağılanmak', 'rezil olmak', 'küskünlük', 'gülünün', 'alay edilen çocuk üzülür', 'saygısızlık', 'neşelenmek', 'dalga geçmek', 'eğlenmek', 'muhabbet', 'rencide olmak']",,"['', 'kıyafet', 'taklit', 'düşen', 'espri', 'kendini', 'duygu', 'dalga', 'tip', 'şaka', 'eksiklik', 'duygulara', 'hata', 'çocuk', 'sinirlenmek', 'insan', 'ünlü kişi', 'kusur']",,"['kelime', 'fest', 'sözler', 'davranış', 'mimik', 'örnek', 'insan', 'ağız', 'malzeme', 'sözcük', 'cümle', 'zayıf', 'arkadaş', 'görünüş', 'söz', 'şaka', 'kadın', 'çocuk', 'erkek', 'hareket', 'fest ve mimiklerle', 'konuşmak', 'kardeş']",,"['öğrenci', 'arkadaş', 'kardeş', 'sevmediği biri', 'herkese', 'arkadaşına', 'eksiklikler', 'karşındaki insana', 'çocuk', 'başkasına', 'insan', 'durum', 'seyirci']",,"['film', 'sahne', 'sınıf', 'iş', 'işyeri', 'ders', 'evde', 'buluşulan ortamda', 'ev', 'herhangi bir yerde', 'caf', 'okulda', 'heryer', 'müsamere', 'yarışma', 'sokak', 'okul', 'cafede', 'kafe', 'iş yeri', 'medya', 'sokakta', 'heryerde', 'arkadaş ortamı']",,"['kişiler', 'öğrenci', 'dalga geçmek', 'çocuklar', 'arkadaş', 'kardeş', 'palyaço', 'herkes', 'zorba', 'kişi', 'eşek', 'rakip kişi', 'çocuk', 'insan', 'komedyen', 'oyuncu', 'cocuk']",,['fiziksel'],
alci,['bir yapı malzemesi'],['siva yapmak'],,['bina'],,['kova'],,['hala'],,['kum'],,['malzeme'],,['herkes'],,,,['beyaz'],,['karisik'],,['cansiz']
alismak,['bir işi kolaylıkla yapabilmek'],,['tekrar etmek'],,['gelisim'],,['sevmek'],,['mutlu olmak'],,['yaklasim'],,['insan'],,['yalnizlik'],,['ev'],,['gonul ayni durumlari tekrar eder'],,,
almak,"['bir şeyi veya kimseyi bulunduğu yerden ayırmak', 'sende olmayanı edinmek', 'parasını ödeyip teslim almak', 'elde etmek', 'elinde tutmak', 'bir eşyayı bir yerden karşılıklı veya karşılıksız olarak almak', 'bir şeyi elle veya başka bir araçla tutarak bulunduğu yerden ayırmak', 'kaldırmak', 'bir nesneye belirli bir ücret ile sahip olmak', 'ihtiyaç duyulan şeyi temin etmek', 'satın almak', 'ele geçirmek', 'bir şeyi yerinden ayırmak', 'para verip elde etmek', 'sahip olmak', 'bir şeyi ya ya birini bulunduğu yerden ayırmak', 'yeni bir şeyin sahip olunması']",,"['kolay', 'utanarak', 'dikkatlice', 'satın alt', 'para vermek', 'aceleyle', 'dikerek', 'para kazanmak', 'zor', 'istekli', 'vererek', 'tutarak', 'isteyerek', 'sipariş', 'kolayca', 'vermek', 'ele almak', 'süpürerek', 'karşılıklı', 'ayırmak', 'elde ederek', 'elini uzatarak', 'ödemek', 'talep', 'anımsatır', 'ellerini uzatarak', 'ödemeyle', 'hızlıca', 'takas', 'zorla', 'cömertçe', 'ödeyerek']",,"['doymak', 'giyinmek', 'ihtiyacı karşılamak', 'kazanmak', 'acımak', 'kaldırmak', 'temizlemek', 'ihtiyaç duymak', 'tutmak', 'para harcamak', 'kullanmak için', 'alışveriş', 'satmak', 'taşımak', 'götürmek', 'edinmek', 'sahip olmak', 'maddiyat', 'yatırım', 'ihtiyaç durmak', 'ihtiyaç', 'istemek', 'okumak']",,"['ihtiyaç duyunca', 'malzeme bitince', 'acımak', 'kullanmak', 'satın almak', 'ihtiyaç duymak', 'gitmek', 'ihtiyaç olunca', 'tükenmek', 'yok olmak', 'sorun çıkmak', 'beğenmek', 'ihtiyacın olunca', 'beğeni sonucunda', 'parasızlıktan', 'acıkınca', 'ihtiyaç', 'istemek', 'ihtiyaç hissetmek', 'kitap okumak', 'gereksinim duyulduğunda', 'ihtiyacı olmak', 'ihtiyaçı olmak', 'ödeme', 'kirlenmek', 'istek', 'kendisinde olmayınca']",,"['kırmak', 'tatmin duygusu', 'para harcamak', 'ihtiyaç gidermek', 'elde etmek', 'giyilir', 'zorlamak', 'urun sahibi olmak', 'fatura ödemek', 'sahip olur', 'sahip olmak', 'bozulmak', 'mülk sahibi olmak', 'gerek duymamak', 'artmak', 'temizlenmek', 'kültürlü olmak', 'sahiplik', 'satılır', 'ihtiyacı gidermek', 'sahip', 'sahip olunur', 'fakirleşmiş', 'ürün sahibi olmak', 'yemek']",,"['giyecek', 'kıyafet', 'çöp', 'nesne', 'ürün', 'eşya', 'kalem', 'sağ', 'kitap', 'sorumluluk', 'malzeme', 'yiyecek', 'para', 'forma', 'mal', 'cisim', 'fikir', 'yemek', 'paket', 'elbise', 'satın', 'elma']",,"['kiyafet', 'kıyafet', 'danışman', 'motoru', 'ürün', 'yürümek', 'ekmek', 'kürek', 'eldiven', 'kitap', 'insan', 'arkadaş', 'para', 'makine', 'madde', 'tüccar', 'el', 'herkes', 'süpürge', 'araba', 'silgi', 'elma', 'satıcı']",,"['eş', 'copa kamyonuna', 'masa', 'ürün', 'çöp kamyonuna', 'kendi', 'eşya', 'silgiye', 'insan', 'sevgili', 'arkadaş', 'kurum', 'tedarikçi', 'kişi', 'çocuk', 'madde', 'sandalye', 'müşteri', 'aile', 'yemek', 'satıcı']",,"['mağaza', 'mutfakta', 'ticari amaç güdülen yerler', 'emlaki', 'işyeri', 'manav', 'mutfak', 'maket', 'dükkan', 'sınıfta', 'ev', 'kütüphane', 'herhangi bir yerde', 'ofis', 'alışveriş merkezi', 'bakkal', 'her yer', 'kasap', 'alisveris', 'depo', 'sokak', 'okul', 'iş yeri', 'kargo', 'internet', 'emlakçı', 'atölyede']",,"['', 'ogrenci', 'kıyafet', 'gümrük memuru', 'öğrenci', 'esnaf', 'baba', 'işçi', 'müdür', 'insanlar', 'anne', 'insan', 'bakkal', 'kurum', 'kurye', 'hemşire', 'ihtiyaç sahibi', 'tüccar', 'yetişkin', 'müşteri', 'ınsan', 'herkes', 'hayvan', 'çöpçü']",,['fiziksel'],
altin,['değerli bir elementi'],['elektriği iletir'],,['yeryuzu'],,['komur'],,['çinko'],,['altin nikel çinko bakir'],,['kuyum'],,['kuyumcu'],,,,['sari'],,['dikdortgen'],,['cansiz']
altğn,[''],,,,,,,,,,,,,,,,,,,,,
altın,"['', 'takı yapımında kullanılan maden', 'ziynet eşyası', 'atomu ağırlığı', 'değerli bir elementi', 'simgesi şu olan yüksek değerli bir elementi', 'kıymetli maden', 'zer simgesi şu', 'değerli bir maden', 'olan', 'madenden çıkarılan değerli madde', 'bir elementi', 'atomu sayısı', 'yüksek değerli', 'çok değerli elementi', 'ıyi elektrik ileten değerli bir maden', 'ziynet olarak kullanılan maden', 'değerli maden', 'takılarda kullanılan değerli eşya', 'paslanmaz elementi', 'kolay işlenen', ' dek eriyen']","['iletim', 'ekonomi', 'süs eşyası', 'aksesuar yapma', 'iletme', 'alışveriş', 'satmak', 'para kazanılır', 'para kazanmak', 'birikim', 'estetik güzellik sağlar', 'ticaret yapmak', 'maddi birikim', 'yatırım aracı', 'takı yapımı', 'mücevherde kullanılır', 'alınır', 'mücevherat yapımı', 'elektrik iletimi', 'varlık göstermek', 'değerli', 'harcamak', 'biriktirmek', 'zenginlik', 'elektriği iletir', 'işlenip takı malzemesi olarak kullanılır', 'ticaret etmek', 'yatırım', 'takı', 'takı yapmak', 'ticaret', 'satılır', 'süs', 'iletkenlik', 'değerli takı', 'alışveriş yapmak', 'yatırım yapmak', 'takı yapılır', 'değer eder', 'elektronik', 'aksesuar', 'kaplama']",,"['mücevherde', 'yer altı', '', 'altın madeni', 'toprak', 'diş', 'yeryüzü', 'ev', 'maden ocağı', 'maden oçağı', 'takı', 'maden', 'venezuella', 'yeraltı', 'kuyumcu', 'banka']",,"['', 'başka elementler', 'bilezik', 'tas', 'taş', 'kolye', 'mücevher', 'alaşım', 'kutu', 'kasa', 'ör adsoyadisimlerxlsx', 'maden', 'bakır', 'pırlanta', 'demir', 'firkete', 'takı', 'para', 'elmas', 'kese', 'zincir', 'toprak', 'toz', 'karbon', 'yüzük', 'gümüş', 'kurdele', 'kömür']",,"['altınnikel', 'altın elementi', 'altın atomu', 'kolye', 'alaşım', 'altın', 'molekül', 'karışık', 'parmak', 'atomu', 'nötron', 'saf', 'proton', 'bakır', 'altın tozu', 'çinko', 'elektron', 'meta', 'demir', 'bileşik', 'kendisi', 'altin', 'gümüş']",,"['elektron', 'meta', 'altın', 'elementi', 'atomu', 'nötron', 'altin', 'altın iki klorür', 'altın elementi', 'proton', 'altın nikel çinko bakır', 'saf altın', 'altın tozu', 'altın atomları']",,"['meta', '', 'mücevherat', 'ziynet', 'kuyum', 'eşya', 'elementi', 'atomu', 'maden', 'mücevher', 'eleme']",,"['varlıklılar', 'elektronik cihazlar', 'donanım üretenler', 'herkes', 'insanlar', 'sarraf', 'zenginler', 'insan', 'kuyumcular', 'kuyumcu', 'banka']",,,,"['yeşil', 'sari', 'turuncu', 'sarı', 'beyaz']",,"['değişkendir', 'değişken', 'karışık', 'külçe', 'yuvarlak', 'katı', 'dikdörtgen', 'erişilebilir', 'taş', 'küre', 'daire']",,['cansız']
alçı,"['sanatta', 'beyaz inşaat malzemesi', 'kaplama malzemesi', 'kırılan kemiği korumaya yarayan malzeme', 'sanatta kullanılan yapı malzemesi', 'mimarlıkta', 'kuruduğunda sertleşen yapı malzemesi', 'hastayı iyileştirmek için yapılan olay', 'alçıtaşının elde edilen toz', 'yapılarda', 'suyla karıştırıldığında macun kıvamını alan ve kuruduğunda sertleşen yapı malzemesi', 'bir kilidi açıp kapamaya yarayan', 'kırık kemiklerin iyileşmesini hızlandırır', 'dişçilikte kullanılan madde', 'duvarları onarmak için kullanılan şey', 'yapılardan kullanılan sertleşebilen malzeme', 'mimari', 'mimarlıkta ve dişçilikte kullanılan madde', 'mimaride kullanılan bağlayıcı madde', 'toz halde bulunan ve bir yapı malzemesi', 'kırık uzvu sabit tutmak için kullanılan nesne', 'alçı taşının pişirilip toz durumuna getirilmesinden elde edilerek yapılarda', 'kemiklerin iyileşmesine yardımcı olan sert madde', 'inşa için kullanılan', 'mimaride ve sanatta kullanılan']","['dekoratif', 'sekil vermek', 'kol kırıklarını tedavi etmede', 'heykel yapmak', 'hasta iyileştirmek', 'iyileşme', 'kapatmak', 'sabit tutmaya', 'sağlamlaştırmak', 'diş dolgusu yapmak', 'ev yapma', 'alçıya almak', 'inşaa etmek', 'tutucu', 'bacak', 'inşa etmek', 'yapıştırma ve sıva', 'tamir etmek için kullanılır', 'sağlamlık', 'inşaat yapmak', 'yapı malzemesi', 'kemikleri iyileştirmek', 'boşlukları doldurma', 'duvar düzleştirmek ve bütünleştirmek', 'süs', 'sıva yapmak', 'sanat eseri üretmek', 'kapama', 'doldurmak', 'süslemede', 'inşaat alanında', 'sağlamlık sağlamak', 'izolasyon', 'kırıkları sabitlemek', 'kırık sarmak', 'yara sarmak', 'kırık çıkışların iyileşmesini hızlandığı', 'sert bir yüzey oluşturur', 'korumak', 'duvar onarmak', 'mimaride ve tadilat işlerinde kullanılır', 'kırık çıkışların tedavisi', 'duvarda açık alanları kapamak', 'duvarı boyamak']",,"['tedavi', 'hasta', 'dişi', 'medikal mağaza', 'duvar', 'bina', 'kol', 'ev', 'ayak', 'tavan', 'bacak', 'inşaat', 'omuz', 'kalburcu', 'yapı maket', 'diş', 'inşaat alanı', 'insaat', 'tadilat', 'mimari', 'hastahane', 'heykel', 'nalbur', 'hastane']",,"['ile', 'macun', 'su', 'spatula', 'vücut kırığı', 'excel gönderiniz dosya adlarına', 'pavel', 'torba', 'kil', 'adınızı yazmayı unutmayınız', 'hala', 'falçata', 'pamuk', 'duvar', 'çimento', 'kürek', 'kol', 'işçi', 'sargı bezi', 'kap', 'sıva', 'beton', 'bez', 'bacak', 'insan', 'meta karıştırıcı', 'bandaj', 'diş', 'demir', 'kum', 'boya', 'kova', 'karton', 'tuğla']",,"['alçıtaşı tozu', 'su', 'alçı taşı', 'alçı', 'alçıtaşı', 'hala', 'pamuk', 'taş', 'alçı taşı tozu', 'kalsiyum', 'kireç', 'kol', 'kürek', 'sargı bezi', 'bacak', 'harç', 'alçı maddesi', 'kalsiyum sülfat', 'alçı kumu', 'madde', 'alci', 'minerali', 'sıvı', 'toz', 'tortul']",,"['su', 'alçı taşı', 'alçı', 'alçıtaşı', 'taş', 'jips', 'kalsiyum sülfat dihidrat', 'kalsiyum', 'kireç', 'alçı tozu', 'kiraç', 'kimyasal', 'seluloz', 'kum', 'kalsiyum sülfat', 'alçı kumu', 'alci', 'minerali', 'toz']",,"['', 'malzeme', 'hırdavat', 'harç malzemesi', 'yapı malzemesi', 'katı', 'alet', 'inşaat malzemesi', 'tadilat malzemesi', 'toz', 'taş', 'minerali', 'madde', 'bandaj', 'kalıp']",,"['doktor', 'kalfa', 'inşaat ustaları', 'hasta', 'inşaat işçileri', 'dişçiler', 'inşaatçı', 'inşaatçılar', 'heykeltıraş', 'inşaat sektöründe çalışanlar', 'insan', 'duvar ustası', 'kemiği kırılanlar', 'inşaat ustası', 'diş hekimleri', 'hemşire', 'mimar', 'usta', 'hasta olanlar', 'hastalar', 'sanatçı', 'dişçi', 'herkes', 'çırak']",,,,"['gri', 'beyaz']",,"['yuvarlak', 'değişkendir', 'karışık', 'silindir', 'katı', 'akışkan', 'toz']",,['cansız']
alışmak,"['', 'bir eylemi yapa yapa', 'intibak etmek', 'rahat hissetmek', 'bir şeyin varlığını benimsemek', 'çok kolay yapabilecek bir duruma gelmek', 'benimsemek', 'farklı bir duruma aşina olmaya başlamak', 'bulunulan duruma zamanla adapte olmak', 'artık sorun etmemek', 'bir durumu kabullenmek', 'bir işi', 'bir işi tekrarlayarak kolaylıkla yapabilmek', 'bir şeyi kabullenmeye başlamak', 'durumu kanıtlamak', 'uyar duruma gelmek', 'ısınmak', 'bir duruma adapte olmak', 'bir şeyin olağan halk gelmesi', 'tekrar ederek kolayca yapmak', 'uyum sağlamak']",,"['tekrarlayarak', 'eğitmek', 'çalışarak', 'zaman geçirmek', 'zor', 'yaşayarak', 'zamanla', 'sorumluluk almak', 'rutin', 'geç', 'adapte olmak', 'deneyerek', 'hızlıca', 'kabullenmek', 'birliktelikle', 'tekrar etmek', 'bekleyerek', 'yavaş', 'süre geçirmek']",,"['rahat hissetmek', 'mecburen', 'bağlanmak', 'hızlı yapmak', 'uzmanlaşmak', 'yakın olmak', 'düzen sağlamak', 'yaşamak', 'kazanç', 'üzülmemek', 'rahat etmek', 'gelişim', 'aşina olmak', 'üretmek için', 'kolaylık sağlama', 'adapte olmak', 'kabullenmek', 'öğrenmek', 'devamlılık', 'alışmak', 'uyum sağlamak']",,"['uzun zaman birlikte olunca', 'gidince', 'sürekli', 'yavaş olunca', 'rahat hissetmek', 'kullanmak', 'yeni bir ortama girmek', 'yeni başlamak', 'sevmek', 'belirli bir zaman geçmesi', 'yeni yer', 'tekrarlamak', 'mutsuz', 'yabancılaşmak', 'düzenli', 'başlamak', 'ihtiyaç', 'rutin', 'işe başladıktan bir süre sonra', 'bilmemek', 'devamlılık', 'zaman geçmek', 'ortamdan farklı olmak', 'defalarca yapmak', 'tekrarlanma']",,"['bağlanmak', 'uzmanlaşmak', 'onaylamak', 'rahatlamak', 'kolaylık', 'adaptasyon', 'kolaylaşmaz', 'sevilmek', 'hızlanır', 'mutlu olmak', 'devamlı istemek', 'zaman geçer', 'pratik kazanmak', 'normalleşme', 'gelişmek', 'kabullenmek', 'bağlanılır', 'öğrenmek', 'iş daha kolay gelir', 'uyum', 'mevcut durum kabul edilir']",,"['yaklaşım', 'olay', 'ortam', 'kişilik', 'uygulamalar', 'nesneye insana', 'iş', 'uzun süre aynı süreç devam ediyor ise', 'insan', 'sahip']",,"['el', 'düşünce', 'eylem', 'herkes', 'hiç', 'ebeveyn', 'aletleriyle', 'iş', 'kalp', 'nesne', 'zaman', 'çevre', 'örnek', 'insan', 'bağ kurmak', 'davranış']",,"['zorluk', 'büyükşehir', 'eş', 'hayvanat bahçesi', 'yabancı', 'iş', 'nesne', 'işyeri', 'alkol', 'petshop', 'eşya', 'ev', 'ürüne', 'insan', 'durum', 'sevgili', 'olay', 'arkadaş', 'herşey', 'ortam', 'koşul', 'sigara', 'kişi', 'duruma', 'okul', 'iş ortamı', 'telefon', 'hayvan', 'yalnızlık']",,"['sınıf', 'uygun ortam', 'iş', 'işyeri', 'işte', 'hayat', 'evde', 'ev', 'herhangi bir yerde', 'heryer', 'her yerde', 'askeriye', 'her yer', 'fabrikada', 'okul', 'önünde', 'iş yeri', 'ış yeri', 'okul eğitim yeri']",,"['öğrenci', 'hayvanlar', 'yaşlı', 'işçi', 'insanlar', 'canlı', 'insan', 'çocuklar', 'sevgili', 'kedi', 'bebek', 'öğretmen', 'arkadaş', 'çocuk', 'asker', 'stajyer', 'gönül aynı durumları tekrar eder', 'herkes', 'hayvan', 'memnun']",,['fiziksel'],
ambalaj,"['ürünleri içinde barındıran plastik madde', 'bir ürünü korumak için kullanılan materyal', 'eşyaların dışını saran malzeme', 'bir ürünü dış etkenlerden koruyan kap', 'ürünlerin korunması ve saklanması için herhangi bir malzemeden yapılan ürün', 'kaplama malzemesi', ' zıt', 'eşyayı sarmaya yarayan malzeme', 'eşyaları korumak için kullanılan kaplama', 'cisimlerin üstünü kaplamaya yarayan şey', 'eşyayı sarmaya yarayan mukavva', 'bir eşyayı zarar görmemesi için sarmaya yarayan madde', 'ürünleri paketlemek için kullanılan malzeme', 'taşınacak maddeleri sarmaya yarayan madde', 'ürünleri korumaya yarayan paket', 'plastik vb malzeme', 'tahta', 'ürünleri paketlemede kullanılan eşya', 'eşyayı sarmak için kullanılan nesne', 'paketlemede kullanan malzeme']","['nesneleri korur', 'paketlemek', 'koruma sağlamak', 'paket yapmak', 'kitap sarmak', 'eşyaların zarar görmesini engeller', 'korunması', 'ürünleri ayrıştırmak', 'saklamak', 'içinde bulunanı korur', 'ürünü saklamak ve korumak amaçlı kullanılır', 'eşyayı sarmaya yarar', 'taşımak', 'muhafaza etme', 'içermek', 'ürünlerin taşınması', 'malzemeleri korumak', 'dış etkilere karsı korumak', 'eşya sarmak', 'saklama', 'paketleme', 'eşyaları korumak', 'eşyaları kaplamak', 'kaplamak', 'eşyaları kaplama', 'icermek', 'cisimlerin tozlanmasını önlemek', 'ürünleri kaplamak', 'ürün sarılır', 'korumak', 'ürünleri korumak', 'kaplama']",,"['mağaza', 'fabrika', 'eşyaların dışında', 'kağıt satın yerler', 'hediye', 'ürün', 'urun', 'maket', 'ambalajlı', 'evde', 'kap', 'ev', 'okulda', 'bakkal', 'herhangi bir ürünün üzerinde', 'toptancı', 'poşet', 'nesnelerin çevresinde', 'depo', 'nalbur', 'paket', 'kapalı ürün', 'kırtasiye', 'kargo', 'heryerde']",,"['yapışkan malzeme', 'bot kağıdı', 'plastik', 'zımba', 'hediye', 'ürün', 'mukavva', 'yırtıldı', 'plastık', 'eşya', 'bant', 'catal', 'kutu', 'kitap', 'yapıştırıcı', 'koli bandı', 'yiyecek', 'kağıt', 'poşet', 'gıda malzemeleri', 'etiket', 'bicak', 'karton', 'cisim', 'makas', 'paket', 'otomasyon makine', 'kapak', 'gıda']",,"['', 'su', 'kutu oyunları', 'kardon', 'plastik', 'süt', 'kahve', 'nesne', 'hediye', 'ürün', 'mukavva', 'deterjan', 'eşya', 'kutu', 'yeni alınan eşyalar', 'pirinç', 'tahta', 'yiyecek', 'kağıt', 'naylon', 'madde', 'içecek', 'şeker', 'çikolata', 'karton', 'çerez', 'yemek']",,"['meta', 'aluminyum folyo', 'karton', 'seluloz', 'plastik', 'tahta', 'ağaç', 'kağıt', 'petro', 'polietilen', ' zıt', 'kayıt', 'celik', 'mukavva', 'alüminyum', 'polistren']",,"['gereç', '', 'malzeme', 'ya', 'eşya', 'etiket', 'plastik', 'paket', 'alet', 'kağıt', 'araç', 'poşet', 'koruyucu malzeme', 'plastik madde', 'madde', 'kaplama']",,"['maket', 'ambalajlı', 'işçi', 'ambalajlar', 'makineler', 'tüketici', 'üreticiler', 'üretici', 'kırtasiyeci', 'herkes', 'insanlar', 'kasap', 'sağlıklı kişiler', 'manav', 'fabrikalar', 'insan', 'satıcı', 'kargolar']",,,,"['', 'yeşil', 'seffaf', 'saydam', 'değişken', 'beyaz', 'mavi', 'şeffaf', 'sarı', 'her renk', 'gri', 'bej']",,"['değişkendir', 'değişken', 'kutu', 'katı', 'yassı', 'kare prizma', 'kare', 'dikdörtgen', 'düz', 'dikdortgen']",,"['cansiz', 'cansız']"
